"Track URI,""Track Name"",""Artist URI(s)"",""Artist Name(s)"",""Album URI"",""Album Name"",""Album Artist URI(s)"",""Album Artist Name(s)"",""Album Release Date"",""Album Image URL"",""Disc Number"",""Track Number"",""Track Duration (ms)"",""Track Preview URL"",""Explicit"",""Popularity"",""Added By"",""Added At"""
"spotify:track:1cBZ4FQ9D2okavZHlprMVm,""Bj¾ldeklang / Kender I Den Om Rudolf - Medley"",""spotify:artist:3zH5giTwRVntj4cnZWkF6A"",""John Mogensen"",""spotify:album:7crMF6YTfORQRwOHhgZAym"",""Julemusik 2019"",""spotify:artist:0LyfQWJT6nXafLPZqxe9Of"",""Various Artists"",""2019-11-01"",""https://i.scdn.co/image/ab67616d0000b273d5519f1aa3b9cb404c597fe9"",""1"",""33"",""187927"",""https://p.scdn.co/mp3-preview/2e8101798b6644e932a18438a7d410f710426fad?cid=9950ac751e34487dbbe027c4fd7f8e99"",""false"",""13"",""spotify:user:1119625738"",""2019-12-23T12:30:59Z"""
"spotify:track:59fcPZu6Pxe1hUFWCGl9dK,""White Christmas - Remastered"",""spotify:artist:49e4v89VmlDcFCMyDv9wQ9"",""Dean Martin"",""spotify:album:7crMF6YTfORQRwOHhgZAym"",""Julemusik 2019"",""spotify:artist:0LyfQWJT6nXafLPZqxe9Of"",""Various Artists"",""2019-11-01"",""https://i.scdn.co/image/ab67616d0000b273d5519f1aa3b9cb404c597fe9"",""1"",""32"",""149117"",""https://p.scdn.co/mp3-preview/4d31c6bd9173cae27d1ec355b39056217f1dad87?cid=9950ac751e34487dbbe027c4fd7f8e99"",""false"",""12"",""spotify:user:1119625738"",""2019-12-23T12:31:05Z"""
"spotify:track:7Kmdy3SkmtDWZyAPccrFVd,""All I Want for Christmas Is You"",""spotify:artist:4iHNK0tOyZPYnBU7nGAgpQ"",""Mariah Carey"",""spotify:album:1J4eYsznCEOwdiY6nkrxQJ"",""Julemusik - Julesange og julehits til julehyggen, julefrokosten og juleaften"",""spotify:artist:0LyfQWJT6nXafLPZqxe9Of"",""Various Artists"",""2019-03-29"",""https://i.scdn.co/image/ab67616d0000b273dc28cf65b68ae7a51aa48604"",""1"",""2"",""243786"",""https://p.scdn.co/mp3-preview/08860ae7f58d0b35551d6354513e8de559d06da6?cid=9950ac751e34487dbbe027c4fd7f8e99"",""false"",""30"",""spotify:user:1119625738"",""2019-12-23T12:32:06Z"""
"spotify:track:43XFga19RTi435yuur3FCs,""Jul Det' Cool"",""spotify:artist:6nQ6GgIEtRhG0jK4SvzO74"",""Mc Einar"",""spotify:album:1J4eYsznCEOwdiY6nkrxQJ"",""Julemusik - Julesange og julehits til julehyggen, julefrokosten og juleaften"",""spotify:artist:0LyfQWJT6nXafLPZqxe9Of"",""Various Artists"",""2019-03-29"",""https://i.scdn.co/image/ab67616d0000b273dc28cf65b68ae7a51aa48604"",""1"",""6"",""354026"",""https://p.scdn.co/mp3-preview/9bb98019bf55dfcaa3b6da13755c807021bd3a70?cid=9950ac751e34487dbbe027c4fd7f8e99"",""false"",""19"",""spotify:user:1119625738"",""2019-12-23T12:32:33Z"""
"spotify:track:7igQ3fmYdz7HatVBNr3bNq,""Feliz Navidad"",""spotify:artist:7K78lVZ8XzkjfRSI7570FF"",""JosÌ© Feliciano"",""spotify:album:1J4eYsznCEOwdiY6nkrxQJ"",""Julemusik - Julesange og julehits til julehyggen, julefrokosten og juleaften"",""spotify:artist:0LyfQWJT6nXafLPZqxe9Of"",""Various Artists"",""2019-03-29"",""https://i.scdn.co/image/ab67616d0000b273dc28cf65b68ae7a51aa48604"",""1"",""10"",""182226"",""https://p.scdn.co/mp3-preview/02846a9673495f7183b28e4370458f22b220eac6?cid=9950ac751e34487dbbe027c4fd7f8e99"",""false"",""12"",""spotify:user:1119625738"",""2019-12-23T12:32:48Z"""
"spotify:track:0LGFzdaDPdHxM0Yok344XN,""Alletiders Jul - Fra julekalenderen 'Pyrus - Alletiders Jul'"",""spotify:artist:039E4c3MpRLKpFghDgcI4q"",""Karen Gardelli"",""spotify:album:5cbt8fWrMHUCfpG0yHvO9e"",""Pyrus...Allertiders Jul"",""spotify:artist:0LyfQWJT6nXafLPZqxe9Of"",""Various Artists"",""2004-09-26"",""https://i.scdn.co/image/ab67616d0000b27398186641b06718e3e25cd321"",""1"",""1"",""192453"",""https://p.scdn.co/mp3-preview/d1068f72c1f7cf125639695553ace40c56dc5782?cid=9950ac751e34487dbbe027c4fd7f8e99"",""false"",""38"",""spotify:user:1119625738"",""2019-12-23T12:32:57Z"""
"spotify:track:5EtvKzwWIQ6NkNQwrQlOsy,""Let It Snow! Let It Snow! Let It Snow! (with The B. Swanson Quartet)"",""spotify:artist:1Mxqyy3pSjf8kZZL4QVxS0, spotify:artist:0JXiS2FrAg3wQYJHcmZdrc"",""Frank Sinatra, B. Swanson Quartet"",""spotify:album:1J4eYsznCEOwdiY6nkrxQJ"",""Julemusik - Julesange og julehits til julehyggen, julefrokosten og juleaften"",""spotify:artist:0LyfQWJT6nXafLPZqxe9Of"",""Various Artists"",""2019-03-29"",""https://i.scdn.co/image/ab67616d0000b273dc28cf65b68ae7a51aa48604"",""1"",""26"",""155600"",""https://p.scdn.co/mp3-preview/e9495c9046a8a53b2925db60c0d7654646592b49?cid=9950ac751e34487dbbe027c4fd7f8e99"",""false"",""11"",""spotify:user:1119625738"",""2019-12-23T12:33:13Z"""
"spotify:track:3oEVdq1U18xfrUG3cUKkYp,""It's Gonna Be a Cold Cold Christmas"",""spotify:artist:5whHVnn6YwaJeQSEMRwFOn"",""Darleens"",""spotify:album:1J4eYsznCEOwdiY6nkrxQJ"",""Julemusik - Julesange og julehits til julehyggen, julefrokosten og juleaften"",""spotify:artist:0LyfQWJT6nXafLPZqxe9Of"",""Various Artists"",""2019-03-29"",""https://i.scdn.co/image/ab67616d0000b273dc28cf65b68ae7a51aa48604"",""1"",""36"",""275546"",""https://p.scdn.co/mp3-preview/1bba551487f3ea5a5e51ee41f399847bb8aed0b3?cid=9950ac751e34487dbbe027c4fd7f8e99"",""false"",""22"",""spotify:user:1119625738"",""2019-12-23T12:33:27Z"""
"spotify:track:75clRtmtXSkZsPm6SjjQ5j,""Santa Claus Is Comin' to Town"",""spotify:artist:1Mxqyy3pSjf8kZZL4QVxS0"",""Frank Sinatra"",""spotify:album:2QRrrjJcbfHSx79HbXLpdl"",""Christmas Songs By Sinatra"",""spotify:artist:1Mxqyy3pSjf8kZZL4QVxS0"",""Frank Sinatra"",""1948"",""https://i.scdn.co/image/ab67616d0000b273ab635079e314b1b477a39485"",""1"",""9"",""154826"","""",""false"",""0"",""spotify:user:1119625738"",""2019-12-23T12:33:38Z"""
"spotify:track:3pRaLNL3b8x5uBOcsgvdqM,""Hallelujah"",""spotify:artist:3nnQpaTvKb5jCQabZefACI"",""Jeff Buckley"",""spotify:album:7yQtjAjhtNi76KRu05XWFS"",""Grace"",""spotify:artist:3nnQpaTvKb5jCQabZefACI"",""Jeff Buckley"",""1994"",""https://i.scdn.co/image/ab67616d0000b2736a760642a56847027428cb61"",""1"",""6"",""413826"",""https://p.scdn.co/mp3-preview/dc7e87e73fae0e729c99fdc417b9bb5e20ec9223?cid=9950ac751e34487dbbe027c4fd7f8e99"",""false"",""71"",""spotify:user:1119625738"",""2019-12-23T12:34:29Z"""
"spotify:track:45wgoKHemWg4AmpWhC6xiP,""Rap Jul"",""spotify:artist:6Y99TxJKt19wJFbmpoRzLp"",""Shu-Bi-Dua"",""spotify:album:6fIXABUcMVdGEJVWKNrzQX"",""25 Dejlige Danske Julehits (2014 Version)"",""spotify:artist:0LyfQWJT6nXafLPZqxe9Of"",""Various Artists"",""2014-10-27"",""https://i.scdn.co/image/ab67616d0000b273266d1eb69e82fac920c66d78"",""1"",""1"",""241386"",""https://p.scdn.co/mp3-preview/d57fdefaff6b6dec7315943a4ea70cc90fc005d8?cid=9950ac751e34487dbbe027c4fd7f8e99"",""false"",""15"",""spotify:user:1119625738"",""2019-12-23T12:34:37Z"""
"spotify:track:1bWx4JyBjhyL6NyEedGydJ,""SÌüren Banjomus (with Spilopperne)"",""spotify:artist:54AYfjvNjvNRpRUos9PEf7, spotify:artist:5uEt7aWqIXnTtzuwXost3V"",""Otto Brandenburg, Spilopperne"",""spotify:album:0KORMQ7LbhRAYR4m6S0on7"",""Den Store Otto Boks Vol. 2"",""spotify:artist:54AYfjvNjvNRpRUos9PEf7"",""Otto Brandenburg"",""2006-08-21"",""https://i.scdn.co/image/ab67616d0000b273996fb270dca5b752325d3316"",""1"",""15"",""189000"",""https://p.scdn.co/mp3-preview/7592b4a47134bff3dcb9a0fb2552d1fe6b171a28?cid=9950ac751e34487dbbe027c4fd7f8e99"",""false"",""29"",""spotify:user:1119625738"",""2019-12-23T12:35:13Z"""
"spotify:track:5a1iz510sv2W9Dt1MvFd5R,""It's Beginning to Look a Lot like Christmas"",""spotify:artist:1GxkXlMwML1oSg5eLPiAz3"",""Michael BublÌ©"",""spotify:album:7uVimUILdzSZG4KKKWToq0"",""Christmas (Deluxe Special Edition)"",""spotify:artist:1GxkXlMwML1oSg5eLPiAz3"",""Michael BublÌ©"",""2012-11-09"",""https://i.scdn.co/image/ab67616d0000b273119e4094f07a8123b471ac1d"",""1"",""1"",""206639"",""https://p.scdn.co/mp3-preview/798a8bc5a7a95ccad75648a63bc50aa755dc2289?cid=9950ac751e34487dbbe027c4fd7f8e99"",""false"",""73"",""spotify:user:1119625738"",""2021-11-10T12:02:29Z"""
"spotify:track:2wCPMWR3y4xclijuCcLJv7,""Jingle Bell Rock"",""spotify:artist:38EmEgXkgK51MT2tPY0EoC"",""Bobby Helms"",""spotify:album:7mBYONx7aIDvzevYOfsXJT"",""Four Christmases"",""spotify:artist:0LyfQWJT6nXafLPZqxe9Of"",""Various Artists"",""2008-01-01"",""https://i.scdn.co/image/ab67616d0000b27313dd0ecf88dae3ff3a88a5c2"",""1"",""6"",""131546"","""",""false"",""0"",""spotify:user:1119625738"",""2021-11-10T12:02:34Z"""
"spotify:track:1Rf9L6mEdRCshE5ul1W2BQ,""NÌ´r Sneen Falder"",""spotify:artist:2ytaRjGwyS3veZwsmr0SPj, spotify:artist:5TRVLzyHn2sEJsu1fwbv5S"",""Thomas Helmig, SÌüs Fenger"",""spotify:album:2H0nVC7ityMwfxkiqo92DM"",""Julemusik"",""spotify:artist:0LyfQWJT6nXafLPZqxe9Of"",""Various Artists"",""2018-09-01"",""https://i.scdn.co/image/ab67616d0000b273afc940c0d7cc28ace703fa7f"",""1"",""8"",""260026"",""https://p.scdn.co/mp3-preview/19056d31bac236b0c59b4e2f4452002830657e5d?cid=9950ac751e34487dbbe027c4fd7f8e99"",""false"",""40"",""spotify:user:1119625738"",""2021-11-10T12:02:58Z"""
"spotify:track:5lfdk3SoWmqFc4FPYklQm4,""Tinka"",""spotify:artist:14nVYgOiwVBJIEATXIDYC8, spotify:artist:6ohx0Iujh5kRkt5BibHlXj"",""Burhan G, Frida Brygmann"",""spotify:album:0qPHx1FUv4MuBHgsqP4559"",""Tinka"",""spotify:artist:14nVYgOiwVBJIEATXIDYC8, spotify:artist:6ohx0Iujh5kRkt5BibHlXj"",""Burhan G, Frida Brygmann"",""2017-11-17"",""https://i.scdn.co/image/ab67616d0000b27359f8a156b17a9013fcb2493b"",""1"",""1"",""201920"",""https://p.scdn.co/mp3-preview/30445febc9d6392659c894c93a36c9e5378313a8?cid=9950ac751e34487dbbe027c4fd7f8e99"",""false"",""47"",""spotify:user:1119625738"",""2021-11-10T12:03:08Z"""
"spotify:track:0QtJZpyfZF67QF32p41NXa,""Thank God It's Christmas"",""spotify:artist:1dfeR4HaWDbWqFHLkxsg1d"",""Queen"",""spotify:album:2BY5L3fpnj4pEduW3T1qN7"",""Greatest Hits III"",""spotify:artist:1dfeR4HaWDbWqFHLkxsg1d"",""Queen"",""1999-11-09"",""https://i.scdn.co/image/ab67616d0000b273a12daf02bea0c11ac2be610a"",""1"",""17"",""259226"",""https://p.scdn.co/mp3-preview/d33ab9f6053b41df0e77ab1fd97f2ada00f72074?cid=9950ac751e34487dbbe027c4fd7f8e99"",""false"",""55"",""spotify:user:1119625738"",""2021-11-10T12:03:19Z"""
"spotify:track:42tdG2vI7JJzCdMvhyWk1A,""Jul PÌ´ Vesterbro"",""spotify:artist:7ywx4levGzk6v90WXQToXe"",""Anders Matthesen"",""spotify:album:0JMjotiVSCzVcC6Q2Jo6rI"",""Jul PÌ´ Vesterbro"",""spotify:artist:7ywx4levGzk6v90WXQToXe"",""Anders Matthesen"",""2003-11-24"",""https://i.scdn.co/image/ab67616d0000b27346b3fc8057207533eae42db3"",""1"",""2"",""266893"","""",""false"",""0"",""spotify:user:1119625738"",""2021-11-10T12:03:23Z"""
"spotify:track:2sYa8IysQXY2F1NiLTqj2Y,""Jul i Valhal"",""spotify:artist:1mEjxHmV73X8Nr3HY47n17, spotify:artist:2d6fU7pGHJDtMXbcX2fpvr"",""Martin Brygmann, Sarah West"",""spotify:album:3XnjrnOFZ3qVtPTuYEIvQE"",""Jul I Valhal"",""spotify:artist:0LyfQWJT6nXafLPZqxe9Of"",""Various Artists"",""2005-11-11"",""https://i.scdn.co/image/ab67616d0000b2731970550bbe46270a03fc30cd"",""1"",""1"",""212866"",""https://p.scdn.co/mp3-preview/6fe6c0959ca744f8c2b157c06433f6cacd05632d?cid=9950ac751e34487dbbe027c4fd7f8e99"",""false"",""41"",""spotify:user:1119625738"",""2021-11-10T12:03:27Z"""
"spotify:track:4LTUBsLeIn8qcopkFwhwK9,""Jul i Angora"",""spotify:artist:14Yvg4O01WlpP3Jm2AP6oI"",""Drengene Fra Angora"",""spotify:album:3j5ZmMOvu5P8YmWLCST4fk"",""Drengene fra Angora"",""spotify:artist:14Yvg4O01WlpP3Jm2AP6oI"",""Drengene Fra Angora"",""2005-07-20"",""https://i.scdn.co/image/ab67616d0000b273d8bf32c416e661dd813345b1"",""1"",""12"",""239200"",""https://p.scdn.co/mp3-preview/04a025837028f5e2028633066a517226f6edb64c?cid=9950ac751e34487dbbe027c4fd7f8e99"",""false"",""43"",""spotify:user:1119625738"",""2021-11-10T12:03:35Z"""
"spotify:track:7iPBrprpYLDELDX5QHrYnc,""It's Hard To Be A Nissemand"",""spotify:artist:4m8RWSTxfjqHFo2NlLnjix"",""De Nattergale"",""spotify:album:0W5PlkPcXqwujVRXHcbTz4"",""Songs From The Julekalender"",""spotify:artist:4m8RWSTxfjqHFo2NlLnjix"",""De Nattergale"",""2007-01-01"",""https://i.scdn.co/image/ab67616d0000b2731454b0dc68c0e131eaec0830"",""1"",""1"",""170053"","""",""false"",""0"",""spotify:user:1119625738"",""2021-11-10T12:03:41Z"""
"spotify:track:4ricyQVd20UQde1jpXCSuJ,""Winter Wonderland"",""spotify:artist:2lolQgalUvZDfp5vvVtTYV"",""Tony Bennett"",""spotify:album:2sw2JVdzZ4lcn2cxh3Nxdc"",""Snowfall - The Tony Bennett Christmas Album"",""spotify:artist:2lolQgalUvZDfp5vvVtTYV"",""Tony Bennett"",""1968-11-06"",""https://i.scdn.co/image/ab67616d0000b273835d52eb61628600e466ead9"",""1"",""8"",""133866"","""",""false"",""17"",""spotify:user:1119625738"",""2021-11-10T12:04:02Z"""
"spotify:track:0hph5ZLIh4WG69ouwjQnxA,""Endelig Jul Igen"",""spotify:artist:0e7UgnX6ObqqX5EcMeuA0E"",""Gasolin'"",""spotify:album:3hlTwao6UF4e0MQlX06rwO"",""Dejlig Er Jorden / Endelig Jul Igen"",""spotify:artist:0e7UgnX6ObqqX5EcMeuA0E"",""Gasolin'"",""1979-11-30"",""https://i.scdn.co/image/ab67616d0000b273b0348eb4bace6c5c6db4bea1"",""1"",""2"",""145120"",""https://p.scdn.co/mp3-preview/b2a388fba49298a5d4c447e50891c8c5767ea8f5?cid=9950ac751e34487dbbe027c4fd7f8e99"",""false"",""35"",""spotify:user:1119625738"",""2021-11-10T12:04:22Z"""
"spotify:track:0GU21Z6SGvZTnKlZ2uLYsn,""Lille Messias"",""spotify:artist:6AWEo7TFXeaDNDMMFuE2YY"",""Anne Linnet"",""spotify:album:4smLbfXoytCD8DlrVOKm8D"",""25 Danske Julehits"",""spotify:artist:0LyfQWJT6nXafLPZqxe9Of"",""Various Artists"",""2009-11-27"",""https://i.scdn.co/image/ab67616d0000b273444b21490365d7ea50dfe7b1"",""1"",""3"",""303840"",""https://p.scdn.co/mp3-preview/11dfeda149fec77f28deea06075dca0e7d176e0e?cid=9950ac751e34487dbbe027c4fd7f8e99"",""false"",""32"",""spotify:user:1119625738"",""2021-11-10T12:04:39Z"""
"spotify:track:06xTqHT6GtcNrUOykoXSTo,""Jeg SÌ´ Julemanden Kysse Mor"",""spotify:artist:14nVYgOiwVBJIEATXIDYC8"",""Burhan G"",""spotify:album:2NoVdaZGygsj673n8ndWyV"",""Et Barn Af Jul"",""spotify:artist:14nVYgOiwVBJIEATXIDYC8"",""Burhan G"",""2019-11-15"",""https://i.scdn.co/image/ab67616d0000b2734fbbdab902a7dfcc3080df8c"",""1"",""4"",""207179"",""https://p.scdn.co/mp3-preview/e63082e3da0e27b02d275ab9d61cb5daa88726da?cid=9950ac751e34487dbbe027c4fd7f8e99"",""false"",""34"",""spotify:user:1119625738"",""2021-11-10T12:04:46Z"""
"spotify:track:63tP19fY4husiHIhoOsFPd,""Gnags' Julesang"",""spotify:artist:460C51GopZ9kmWvz3Z0649"",""Gnags"",""spotify:album:7gZ99q8YOJVgBsCjwGe52J"",""Gnags' Julesang"",""spotify:artist:460C51GopZ9kmWvz3Z0649"",""Gnags"",""1983-11-24"",""https://i.scdn.co/image/ab67616d0000b27330d72f26391ea0be380be4d0"",""1"",""1"",""216306"",""https://p.scdn.co/mp3-preview/d37c7397dedc5dc2eff55718f4cf6c4c5fa3735b?cid=9950ac751e34487dbbe027c4fd7f8e99"",""false"",""31"",""spotify:user:1119625738"",""2021-11-10T12:05:10Z"""
"spotify:track:0dL0WL2YvyHAh4AFXx3OwD,""Happy Xmas (War Is Over)"",""spotify:artist:14bt7qAPOSPw76Fc1WFGM6"",""Tim Christensen"",""spotify:album:66c8qLnHLrs4aTlF6qYex4"",""Happy Xmas (War Is Over)"",""spotify:artist:14bt7qAPOSPw76Fc1WFGM6"",""Tim Christensen"",""2012-12-01"",""https://i.scdn.co/image/ab67616d0000b27311ca719c1632ec92a46bd614"",""1"",""1"",""155426"",""https://p.scdn.co/mp3-preview/ea992ad5a516982bcc4f083c76ead51cc794d453?cid=9950ac751e34487dbbe027c4fd7f8e99"",""false"",""29"",""spotify:user:1119625738"",""2021-11-10T12:05:34Z"""
"spotify:track:1UVXpwfXvvDCOzAH1OmbeI,""Lokes rapsody"",""spotify:artist:1mEjxHmV73X8Nr3HY47n17"",""Martin Brygmann"",""spotify:album:3XnjrnOFZ3qVtPTuYEIvQE"",""Jul I Valhal"",""spotify:artist:0LyfQWJT6nXafLPZqxe9Of"",""Various Artists"",""2005-11-11"",""https://i.scdn.co/image/ab67616d0000b2731970550bbe46270a03fc30cd"",""1"",""7"",""223800"",""https://p.scdn.co/mp3-preview/4168546953d7e2c15e96c1e445777da28c292cb3?cid=9950ac751e34487dbbe027c4fd7f8e99"",""false"",""32"",""spotify:user:1119625738"",""2021-11-10T12:06:07Z"""
"spotify:track:0k8e3ZdLvpa9tvn5v6wA00,""En lille nisse rejste"",""spotify:artist:6ORZXn3C3GcPJUy7jxJnZD"",""BÌürnesange Dronning"",""spotify:album:6oCjemnzzJqsZpQSUgkclh"",""Julesange, Danske julesange og julesalmer"",""spotify:artist:6ORZXn3C3GcPJUy7jxJnZD"",""BÌürnesange Dronning"",""2018-09-24"",""https://i.scdn.co/image/ab67616d0000b27361da2ed694e0684cbf45de28"",""1"",""3"",""111000"",""https://p.scdn.co/mp3-preview/78b142439c3eacd034284dbf30330cacfd7c4a84?cid=9950ac751e34487dbbe027c4fd7f8e99"",""false"",""14"",""spotify:user:1119625738"",""2021-11-10T12:07:41Z"""
"spotify:track:1HWQvWmEiCW8ttOGs9KQYI,""Et barn er fÌüdt i Bethlehem"",""spotify:artist:6ORZXn3C3GcPJUy7jxJnZD"",""BÌürnesange Dronning"",""spotify:album:6oCjemnzzJqsZpQSUgkclh"",""Julesange, Danske julesange og julesalmer"",""spotify:artist:6ORZXn3C3GcPJUy7jxJnZD"",""BÌürnesange Dronning"",""2018-09-24"",""https://i.scdn.co/image/ab67616d0000b27361da2ed694e0684cbf45de28"",""1"",""4"",""262500"",""https://p.scdn.co/mp3-preview/4ec57613f38e3d4212bc65dd5a4461eeb167ac80?cid=9950ac751e34487dbbe027c4fd7f8e99"",""false"",""15"",""spotify:user:1119625738"",""2021-11-10T12:07:45Z"""
"spotify:track:063nmjp1jnmf0UEFZs8Tcz,""Der Kimer Nu Til Julefest"",""spotify:artist:3pcPbJ5oVGttgz0bZdg6Oc"",""Jodle Birge"",""spotify:album:2g69ufXMnTkXju5LKtPfX2"",""Synger Julen Ind"",""spotify:artist:3pcPbJ5oVGttgz0bZdg6Oc"",""Jodle Birge"",""2010-01-14"",""https://i.scdn.co/image/ab67616d0000b27393e86b09378d3e13b384b855"",""1"",""5"",""362973"",""https://p.scdn.co/mp3-preview/4134831ee9b045933fd54e85d90bb366d790d136?cid=9950ac751e34487dbbe027c4fd7f8e99"",""false"",""0"",""spotify:user:1119625738"",""2021-11-10T12:09:12Z"""
