"","Track Name","Artist Name(S)","Album Name","Album Release Date","Disc Number","Track Number","Track Duration (Ms)"
"1","Bjældeklang / Kender I Den Om Rudolf - Medley","John Mogensen","Julemusik 2019",43770,1,33,187927
"2","White Christmas - Remastered","Dean Martin","Julemusik 2019",43770,1,32,149117
"3","All I Want For Christmas Is You","Mariah Carey","Julemusik - Julesange Og Julehits Til Julehyggen, Julefrokosten Og Juleaften",43553,1,2,243786
"4","Jul Det' Cool","Mc Einar","Julemusik - Julesange Og Julehits Til Julehyggen, Julefrokosten Og Juleaften",43553,1,6,354026
"5","Feliz Navidad","José Feliciano","Julemusik - Julesange Og Julehits Til Julehyggen, Julefrokosten Og Juleaften",43553,1,10,182226
"6","Alletiders Jul - Fra Julekalenderen 'Pyrus - Alletiders Jul'","Karen Gardelli","Pyrus...Allertiders Jul",38256,1,1,192453
"7","Let It Snow! Let It Snow! Let It Snow! (With The B. Swanson Quartet)","Frank Sinatra, B. Swanson Quartet","Julemusik - Julesange Og Julehits Til Julehyggen, Julefrokosten Og Juleaften",43553,1,26,155600
"8","It's Gonna Be A Cold Cold Christmas","Darleens","Julemusik - Julesange Og Julehits Til Julehyggen, Julefrokosten Og Juleaften",43553,1,36,275546
"9","Santa Claus Is Comin' To Town","Frank Sinatra","Christmas Songs By Sinatra",1948,1,9,154826
"10","Hallelujah","Jeff Buckley","Grace",1994,1,6,413826
"11","Rap Jul","Shu-Bi-Dua","25 Dejlige Danske Julehits (2014 Version)",41939,1,1,241386
"12","Søren Banjomus (With Spilopperne)","Otto Brandenburg, Spilopperne","Den Store Otto Boks Vol. 2",38950,1,15,189000
"13","It's Beginning To Look A Lot Like Christmas","Michael Bublé","Christmas (Deluxe Special Edition)",41222,1,1,206639
"14","Jingle Bell Rock","Bobby Helms","Four Christmases",39448,1,6,131546
"15","Når Sneen Falder","Thomas Helmig, Søs Fenger","Julemusik",43344,1,8,260026
"16","Tinka","Burhan G, Frida Brygmann","Tinka",43056,1,1,201920
"17","Thank God It's Christmas","Queen","Greatest Hits Iii",36473,1,17,259226
"18","Jul På Vesterbro","Anders Matthesen","Jul På Vesterbro",37949,1,2,266893
"19","Jul I Valhal","Martin Brygmann, Sarah West","Jul I Valhal",38667,1,1,212866
"20","Jul I Angora","Drengene Fra Angora","Drengene Fra Angora",38553,1,12,239200
"21","It's Hard To Be A Nissemand","De Nattergale","Songs From The Julekalender",39083,1,1,170053
"22","Winter Wonderland","Tony Bennett","Snowfall - The Tony Bennett Christmas Album",25148,1,8,133866
"23","Endelig Jul Igen","Gasolin'","Dejlig Er Jorden / Endelig Jul Igen",29189,1,2,145120
"24","Lille Messias","Anne Linnet","25 Danske Julehits",40144,1,3,303840
"25","Jeg Så Julemanden Kysse Mor","Burhan G","Et Barn Af Jul",43784,1,4,207179
"26","Gnags' Julesang","Gnags","Gnags' Julesang",30644,1,1,216306
"27","Happy Xmas (War Is Over)","Tim Christensen","Happy Xmas (War Is Over)",41244,1,1,155426
"28","Lokes Rapsody","Martin Brygmann","Jul I Valhal",38667,1,7,223800
"29","En Lille Nisse Rejste","Børnesange Dronning","Julesange, Danske Julesange Og Julesalmer",43367,1,3,111000
"30","Et Barn Er Født I Bethlehem","Børnesange Dronning","Julesange, Danske Julesange Og Julesalmer",43367,1,4,262500
"31","Der Kimer Nu Til Julefest","Jodle Birge","Synger Julen Ind",40192,1,5,362973
"32","Dejlig Er Den Himmel Blå","Jodle Birge","Synger Julen Ind",40192,1,7,286773
"33","Glade Ju Dejlige Jul","Jodle Birge","Synger Julen Ind",40192,1,8,238733
"34","Dejlig Er Jorden","Jodle Birge","Synger Julen Ind",40192,1,11,207466
"35","Nu' Det Jul Igen","Børnemusik Dyrene, Børne Musen, Børnesange Aben","Julemusik Til Børn - Populære Danske Børnesange Til Jul",43744,1,7,98549
"36","Decembersang (Det Sørme)","Børnemusik Dyrene, Børne Musen, Børnesange Aben","Julemusik Til Børn - Populære Danske Børnesange Til Jul",43744,1,6,100101
"37","Højt Fra Træets Grønne Top","Børnemusik Dyrene, Børne Musen, Børnesange Aben","Julemusik Til Børn - Populære Danske Børnesange Til Jul",43744,1,10,113166
"38","Julemanden Er Kommet Til Byen","Børnemusik Dyrene, Børne Musen, Børnesange Aben","Julemusik Til Børn - Populære Danske Børnesange Til Jul",43744,1,12,124026
"39","Cool Jul","Pyrus","Pyrus...Allertiders Jul",38256,1,5,189493
"40","Julen Er Noget Som","Pyrus","Pyrus...Allertiders Jul",38256,1,2,118640
"41","Tjing Tjang Tjing","Guttenborg","Pyrus...Allertiders Jul",38256,1,14,166693
"42","Vi Er På Vej Til Dig - Julemand","Bamse","Bamses Julerejse",35336,1,9,112093
"43","Efterlysning","Luna, Bamse","Bamses Julerejse",35336,1,20,149866
"44","Det Kan Du Få For En Krone - Version 1","Various Artists","Jullerup Færgeby",27364,1,7,58769
"45","Nisse-Hopsa - Jul På Slottet","Ole Thestrup, Ellen Winther, Ejnar Hans Jensen, Allan Olsen","Jul På Slottet",36110,1,12,111826
"46","Muligvisvej","Cast Of 'Brødrene Mortensens Jul'","Brødrene Mortensens Jul",2002,1,1,155613
"47","Jesus & Josefine","Julie, Martin Brygmann","Jesus & Josefine",37949,1,1,243613
"48","Drømte Mig En Lille Drøm - Fra Julekalenderen 'Absalons Hemmelighed'","Dicte","Absalons Hemmelighed",39022,1,1,258533
"49","Kronborg Jul","Cast Of 'Jul På Kronborg'","Jul På Kronborg",2000,1,14,164373
"50","Julestjerne","Amalie Dollerup, Per Damgård Hansen","Krummernes Jul '01",1996,1,12,193893
"51","Jul I Krummeland","Søren Spanning, Lukas Forchhammer, Per Damgård Hansen, Dick Kaysø, Line Kruse, Karen-Lise Mynster, Ole Stephensen","Krummernes Jul '01",1996,1,1,151880
"52","Brevsangen","Lukas Forchhammer, Per Damgård Hansen, Dick Kaysø, Line Kruse, Karen-Lise Mynster","Krummernes Jul '01",1996,1,4,206173
"53","Det Er Risengrød","Nissebanden","Nissebanden I Grønland",40861,1,11,124786
"54","Nu Er Det Jul (Feat. Marianne Van Toornburg)","Nissebanden, Marianne Van Toornburg","Nissebanden I Grønland",40861,1,1,200400
"55","Sangen Om Luffe (1) - 2011 Remastered Version","Nissebanden","Nissebanden I Grønland",40861,1,2,137266
"56","Rockin' Around The Christmas Tree - Single Version","Brenda Lee","Santa's Greatest Hits / 20th Century Masters Christmas",38353,1,1,124693
"57","Hark! The Herald Angels Sing - 1999 Remastered","Nat King Cole","Holidays & Hits",39814,1,9,111960
"58","Carol Of The Bells","Us Air Force Band And Singing Sergeants","Caroling",38970,1,8,92000
"59","Frosty The Snowman","Ella Fitzgerald","Ella Wishes You A Swinging Christmas (Expanded Edition)",1960,1,11,131733
"60","Til Julebal I Nisseland","Børnemusik Dyrene, Børne Musen, Børnesange Aben","Julemusik Til Børn - Populære Danske Børnesange Til Jul",43744,1,4,146179
